spotid	userid	type
272011	2510127	Sketchy
208417	16958	Best Cup
208417	25815	Best Kept Secret
208417	25815	Best Cup
76613	42051	My Happy Place
480889	2294945	Best Cup
6529268	2264211	GTD
59047	42051	Breakfast
361266	2286085	People Watching
361266	2102068	Celebrity Sighting
72327	2081812	Guilty Pleasure
72327	42051	My Happy Place
72327	1502383	Guilty Pleasure
72327	2099221	Guilty Pleasure
72327	932779	Guilty Pleasure
72327	95237	Guilty Pleasure
78865	42051	My Happy Place
78865	2093206	Watering Hole
79013	42051	Pizza
79013	2330656	Pizza
79013	117602	Pizza
79013	2213457	Pizza
79013	2158646	Pizza
79013	2116520	Pizza
79013	69825	Pizza
79013	81472	Pizza
79013	132774	Pizza
79013	3052	Pizza
144266	2239165	Pizza
308257	2243211	My Happy Place
308257	2150778	People Watching
308257	1425913	Celebrity Sighting
308257	25995	Celebrity Sighting
308257	18892	Celebrity Sighting
308257	14204	Celebrity Sighting
432271	2222910	Best Cup
432271	1536761	Best Cup
432271	1203983	Best Cup
506957	2081137	Celebrity Sighting
103599	250048	Celebrity Sighting
103599	2122540	FTW
389065	2222727	Tourist Trap
297981	42051	Vegetarian
938672	9933	Date Night
55685	2371759	Best Kept Secret
888490	847545	Scenic at Night
840023	242216	Celebrity Sighting
1496021	42051	OMG
931093	42051	Take My Breath Away
22168	57441	Celebrity Sighting
1324583	42051	Beer
99426	42051	BBQ
740670	42051	Date Night
291227	42051	Beer
983165	61361	Live Music
983165	309765	Live Music
109890	42051	Open Late
275028	18892	People Watching
779740	42051	Vegetarian
210577	2093881	Engaged
210577	354129	Celebrity Sighting
171708	42051	Steak
104875	2195501	People Watching
104875	2159336	People Watching
53710	2150900	Beer
53710	141186	Engaged
53709	2190623	Celebrity Sighting
146364	994482	Best Cup
16812	42051	People Watching
13731	42051	My Happy Place
12313	2206094	Tourist Trap
12313	2407114	Historical Record
12313	2605507	Take My Breath Away
12313	2148983	Picturesque
12313	1502383	Scenic at Night
12313	2294945	Take My Breath Away
12313	359192	Tourist Trap
12313	249371	Best Kept Secret
12313	64240	Best Kept Secret
12313	316381	Winter Wonderland
12313	378957	Scenic at Night
12313	19313	Tourist Trap
12313	12187	Picturesque
12313	95237	Scenic at Night
12313	132513	Scenic at Night
12313	292526	Scenic at Night
12313	2215691	Scenic at Night
12313	2210091	Scenic at Night
12313	108489	Scenic at Night
12313	28064	Tourist Trap
12313	2179691	Scenic at Night
12313	1058690	Engaged
12313	332814	Take My Breath Away
12313	2148304	Engaged
12313	311772	Take My Breath Away
12313	696304	Scenic at Night
12313	2125120	Take My Breath Away
12313	2118975	People Watching
12313	2116106	Engaged
12313	2117396	Take My Breath Away
12313	2115167	Scenic at Night
12313	63835	Scenic at Night
12313	579040	Tourist Trap
12313	2096405	Scenic at Night
12313	874290	Scenic at Night
12313	126168	Scenic at Night
12313	3245	Scenic at Night
12313	148734	Scenic at Night
12313	2063642	Scenic at Night
12313	71979	My Happy Place
12313	12110	Engaged
12313	302830	Engaged
12313	6477	Scenic at Night
12313	1765467	Take My Breath Away
12313	93115	Scenic at Night
12313	1379474	My Happy Place
12313	110698	Tourist Trap
12313	265912	Take My Breath Away
12313	737977	People Watching
12313	126119	Scenic at Night
12313	754104	Take My Breath Away
12313	154555	Engaged
12313	1313100	Scenic at Night
12313	144549	My Happy Place
12313	300201	Scenic at Night
12313	994482	Scenic at Night
12313	133961	Scenic at Night
12313	136414	Scenic at Night
12313	174566	Scenic at Night
12313	235750	Take My Breath Away
31820	374	Best Cup
31820	374	Sandwiches
19762	378969	WTF
19762	1684172	Celebrity Sighting
19762	195633	Celebrity Sighting
463573	42051	Double Rainbow
463573	47663	Guilty Pleasure
59040	354788	Breakfast
59040	131879	Celebrity Sighting
486064	9933	Tacos
3798827	42051	Burgers
188198	2301162	Celebrity Sighting
603300	477535	Alma Mater
47561	66603	Drinks
184336	387798	GTD
7145246	236591	Best Kept Secret
607988	1669567	Watering Hole
33871	2696	FTW
238964	2382450	CNN iReport
238964	12723	People Watching
238964	549663	Tourist Trap
287453	86632	Celebrity Sighting
383238	2310984	My Happy Place
2380705	9933	Live Music
270930	936577	Watering Hole
270930	42051	Tacos
854933	195514	Sketchy
948664	42051	Wine
11847	288527	Drinks
11847	8031	Tourist Trap
11847	2257552	Celebrity Sighting
11847	2226923	People Watching
11847	63835	Celebrity Sighting
1256936	1937417	Pizza
1157895	149337	Take My Breath Away
1157895	1646528	My Happy Place
1157895	1646560	My Happy Place
1157895	1729112	Celebrity Sighting
1157895	1669567	Take My Breath Away
1157895	1669567	Guilty Pleasure
1157895	293547	Live Music
125923	795103	Celebrity Sighting
202824	42051	Wine
96335	118053	Celebrity Sighting
183554	57609	Live Music
183554	210107	Engaged
53705	42051	Tourist Trap
116900	42051	Drinks
122084	2020965	Date Night
803697	95237	Drinks
11844	2206094	Open Late
11844	109667	People Watching
11844	2280247	People Watching
11844	29206	Tourist Trap
11844	188101	Take My Breath Away
11844	2616431	GTD
11844	100200	People Watching
11844	42051	Scenic at Night
11844	2647821	My Happy Place
11844	2122540	Take My Breath Away
11844	2317608	Guilty Pleasure
11844	2464230	Picturesque
11844	117868	Picturesque
11844	39811	Take My Breath Away
11844	2148983	Tourist Trap
11844	2294945	Take My Breath Away
11844	1502383	My Happy Place
11844	2561042	Double Rainbow
11844	91143	Best Kept Secret
11844	374	Tourist Trap
11844	1924342	Tourist Trap
11844	1875744	Pizza
11844	191164	People Watching
11844	32201	Celebrity Sighting
11844	2243020	Scenic at Night
11844	2450572	My Happy Place
11844	2280247	Tourist Trap
11844	2379246	Tourist Trap
11844	288527	Scenic at Night
11844	2378504	Picturesque
11844	212012	Tourist Trap
11844	587016	Date Night
11844	376170	Tourist Trap
11844	133199	Tourist Trap
11844	309480	GTD
11844	2128140	My Happy Place
11844	12187	Scenic at Night
11844	2284571	My Happy Place
11844	667235	Tourist Trap
11844	2257614	Tourist Trap
11844	2250415	Take My Breath Away
11844	2244575	Tourist Trap
11844	2169210	Tourist Trap
11844	2116833	Tourist Trap
11844	2215691	People Watching
11844	100208	Tourist Trap
11844	385008	Tourist Trap
11844	2191913	People Watching
11844	2179476	Tourist Trap
11844	16304	People Watching
11844	2157284	My Happy Place
11844	1009736	People Watching
11844	2163213	Tourist Trap
11844	373082	Tourist Trap
11844	202117	Tourist Trap
11844	2158516	Take My Breath Away
11844	53595	Tourist Trap
11844	6142	People Watching
11844	2145270	Tourist Trap
11844	1111	Tourist Trap
11844	1447411	Tourist Trap
11844	16335	People Watching
11844	310321	Scenic at Night
11844	272075	People Watching
11844	2115240	Tourist Trap
11844	2115167	Take My Breath Away
11844	2034525	Tourist Trap
11844	191771	Tourist Trap
11844	2088473	Tourist Trap
11844	2096405	Tourist Trap
11844	2098173	Celebrity Sighting
11844	311772	Celebrity Sighting
11844	2097453	Scenic at Night
11844	2097098	Tourist Trap
11844	3245	Tourist Trap
11844	2093206	Tourist Trap
11844	2092430	People Watching
11844	1762667	Tourist Trap
11844	2084656	Tourist Trap
11844	128971	Tourist Trap
11844	200463	Tourist Trap
11844	11889	People Watching
11844	66267	People Watching
11844	19024	Tourist Trap
11844	2025621	My Happy Place
11844	75520	Tourist Trap
11844	124351	Scenic at Night
11844	11737	Tourist Trap
11844	101316	Tourist Trap
11844	190925	Scenic at Night
11844	187520	People Watching
11844	31617	People Watching
11844	1549976	Engaged
11844	1379474	Take My Breath Away
11844	186210	Tourist Trap
11844	563587	Tourist Trap
11844	1582375	Tourist Trap
11844	1684164	People Watching
11844	13304	People Watching
11844	674484	People Watching
11844	1433982	Tourist Trap
11844	190925	My Happy Place
11844	1103219	Pizza
11844	436703	Tourist Trap
11844	1242367	People Watching
11844	137058	Tourist Trap
11844	95451	People Watching
11844	719267	Tourist Trap
11844	173235	Tourist Trap
11844	6303	Take My Breath Away
11844	940	Tourist Trap
11844	16005	Tourist Trap
11844	768924	Take My Breath Away
11844	383542	Celebrity Sighting
11844	95237	Tourist Trap
11844	1060514	Tourist Trap
11844	169530	Tourist Trap
11844	970467	Tourist Trap
11844	1041834	Tourist Trap
11844	1036107	Tourist Trap
11844	1009424	Tourist Trap
11844	331273	Tourist Trap
11844	16128	Tourist Trap
11844	235669	Take My Breath Away
11844	1011547	People Watching
11844	264632	Tourist Trap
11844	488158	Tourist Trap
11844	950	Tourist Trap
11844	163650	Tourist Trap
11844	932059	Take My Breath Away
11844	93128	Engaged
11844	400957	Tourist Trap
11844	303900	Tourist Trap
11844	209434	Engaged
11844	154091	Tourist Trap
11844	5885	People Watching
11844	66595	Tourist Trap
11844	21386	Tourist Trap
11844	109564	Take My Breath Away
11844	68091	People Watching
11844	115320	Tourist Trap
11844	25072	Tourist Trap
11844	19024	People Watching
11844	101582	Tourist Trap
11844	42051	Tourist Trap
11844	366539	Tourist Trap
11844	18892	Tourist Trap
11844	23138	Tourist Trap
11844	13165	Scenic at Night
11844	115418	Tourist Trap
11844	16637	People Watching
11844	3717	Tourist Trap
11844	1	Tourist Trap
6820898	2271020	GTD
323792	675078	Tacos
323792	2147467	Tacos
12488	42051	Tourist Trap
12488	2243020	FTW
194920	42051	Burgers
904063	101148	Celebrity Sighting
62805	42051	Sandwiches
226616	2605507	Best Cup
226616	641412	Best Cup
226616	300201	Best Cup
226616	874290	Best Cup
226616	2114118	Best Cup
226616	272075	Best Cup
226616	2179691	Best Cup
226616	2184859	Best Cup
694489	42051	BBQ
646707	42051	Burgers
506110	2116833	GTD
506110	2096405	Alma Mater
87994	21912	Winter Wonderland
87994	268395	My Happy Place
49002	218621	Breakfast
49002	42051	Tourist Trap
302719	137147	Best Cup
302719	374	Best Cup
6928214	23347	FTW
7231914	2151232	GTD
6242158	42051	Steak
48512	42051	Live Music
305222	42051	Steak
6631480	15309	FTW
519057	309480	Best Cup
6528653	2378504	Take My Breath Away
239759	42051	OMG
54889	42051	Steak
6375546	176057	Tourist Trap
6375546	2140906	Tourist Trap
56226	1350402	Best Cup
262636	68535	Pizza
262636	29810	Pizza
183843	2310984	Steak
183843	42051	FTW
183843	42051	Steak
183843	42051	Guilty Pleasure
1051674	133199	Watering Hole
348551	43398	Best Kept Secret
293639	42051	Open Late
1059294	108126	Pizza
13076	1343	Third Place
1354997	2208902	Live Music
6427258	222319	Live Music
1096711	1197234	My Happy Place
133502	105030	Wedding Day
133502	2152956	Engaged
133502	1943411	Live Music
133502	5301	Live Music
48513	2191913	My Happy Place
48513	1069096	Celebrity Sighting
6917011	16958	My Happy Place
1517376	2404380	Guilty Pleasure
48518	42051	Kid Friendly
48518	300201	Take My Breath Away
864730	2696	Best Cup
864730	2239165	Best Cup
4904124	3210	Celebrity Sighting
1420755	2553303	People Watching
231760	42051	Scenic at Night
35033	42051	OMG
47918	2696	Beer
37001	1069096	Guilty Pleasure
60777	131417	Celebrity Sighting
84240	42051	BBQ
188530	2206094	My Happy Place
555980	5141	Celebrity Sighting
96784	82856	Guilty Pleasure
49718	42051	Kid Friendly
88004	2122758	Alma Mater
166418	42051	Steak
408088	299036	Best Kept Secret
36750	2300166	Steak
458830	42051	Live Music
458830	1669567	Live Music
458830	73302	Live Music
541118	2696	GTD
231325	42051	Tacos
148130	42051	My Happy Place
48516	2247953	BBQ
48516	1231896	Celebrity Sighting
398350	67138	Date Night
198716	68702	Best Cup
63301	42051	Watering Hole
102696	42051	Wine
945104	42051	People Watching
710027	981591	Celebrity Sighting
6971067	2696	Steak
371673	42051	Beer
366996	2063642	Live Music
3290852	309480	My Happy Place
7288286	42051	Historical Record
161780	9572	Tourist Trap
235186	1275393	Best Cup
746626	42051	Sandwiches
120817	42051	People Watching
285517	2335785	Picturesque
285517	1266186	Pizza
285517	339608	People Watching
285517	961334	People Watching
285517	21628	People Watching
285517	846515	Tourist Trap
124838	42051	Third Place
124838	92592	Third Place
48704	29810	Best Cup
5852979	2696	Best Kept Secret
78751	42051	Guilty Pleasure
80941	42051	Steak
165672	93115	Watering Hole
1337353	42051	People Watching
754434	42051	Beer
62696	83811	Guilty Pleasure
62696	2379246	Best Cup
58322	42051	Open Late
70798	199528	Live Music
70798	1711969	Guilty Pleasure
70798	286966	Live Music
70798	288149	Live Music
70798	719267	Live Music
463547	42051	Beer
573460	69785	Best Cup
563409	6716	Celebrity Sighting
563409	303900	Celebrity Sighting
11834	2696	Free Wifi
11834	2207488	My Happy Place
11834	1857362	My Happy Place
11834	1871657	Tourist Trap
11834	390135	People Watching
11834	1461442	People Watching
64017	2223838	Celebrity Sighting
7266691	2145340	Take My Breath Away
7266691	2150900	My Happy Place
1181393	2117446	Wedding Day
143942	242857	Breakfast
926885	2450572	Best Cup
109968	2043144	Watering Hole
86073	181383	My Happy Place
86073	239422	BBQ
977877	1450579	Live Music
1497862	42051	Date Night
466082	2220847	Celebrity Sighting
7040635	146756	OMG
99038	21386	Celebrity Sighting
747922	2673217	Best Kept Secret
747922	42051	Wine
1213971	42051	Steak
787519	1590158	Pizza
918743	42051	Wine
425186	679	BBQ
33366	42051	Breakfast
33366	42051	People Watching
33366	97966	Breakfast
33366	69101	Celebrity Sighting
32690	1528681	Best Cup
32690	848811	Best Cup
335658	2147467	Sandwiches
457403	169530	Burgers
33283	42051	Beer
179992	42051	Drinks
7306238	200463	FTW
62650	12334	Celebrity Sighting
1484983	42051	Steak
252610	4149	Celebrity Sighting
1035546	2227379	Best Kept Secret
23051	12334	Watering Hole
154300	42051	Date Night
23705	525288	LOL
23705	2232076	OMG
23705	127147	LOL
23705	16088	Double Rainbow
23705	5	LOL
439467	42051	Drinks
64534	42051	Drinks
326478	42051	Steak
174718	42051	GTD
7009656	2743	WTF
410294	42051	Drinks
54441	374	Watering Hole
53245	252712	Engaged
220281	42051	Beer
3679605	2105362	Best Kept Secret
199847	42051	BBQ
7004083	2299552	FTW
23053	42051	Tourist Trap
923815	42051	My Happy Place
6371522	42051	Beer
6371522	1211	Celebrity Sighting
1007558	1867	Engaged
445352	42051	Vegetarian
787499	365084	Burgers
183116	140363	Alma Mater
7229866	9463	Open Late
596772	42051	OMG
1343514	2206180	Watering Hole
474844	2120109	Alma Mater
4738625	3170	GTD
36834	212012	Best Kept Secret
574326	14369	Watering Hole
360831	42051	My Happy Place
371485	2117061	Alma Mater
371485	3975	Alma Mater
371485	95237	Alma Mater
415407	87189	Beer
171638	78631	Date Night
434991	2222154	Celebrity Sighting
341255	6716	Date Night
341255	2696	Date Night
955910	42051	People Watching
11835	2243020	Picturesque
11835	16958	Historical Record
11835	2317127	LOL
11835	29810	GTD
11835	2207877	Live Music
11835	2081834	My Happy Place
11835	1593414	Pizza
333066	42051	Breakfast
1039599	9022	Third Place
88556	42051	Take My Breath Away
544154	27893	OMG
192182	42051	Take My Breath Away
48271	42051	Beer
48271	57609	Watering Hole
48271	266810	Beer
48271	2696	Beer
505649	169639	Best Kept Secret
6438896	2280206	Live Music
1514233	2559437	Best Kept Secret
5599375	42051	Steak
1223891	42051	Sandwiches
75664	42051	Drinks
75664	194831	Date Night
512618	42051	Take My Breath Away
252140	42051	My Happy Place
68660	2109505	Tacos
266536	29810	Third Place
221558	2116833	Guilty Pleasure
191106	42051	Steak
196621	42051	Steak
63999	2065691	Live Music
132968	42051	Steak
280245	42051	Drinks
6380867	42051	Drinks
67980	3170	GTD
67980	1072666	My Happy Place
331842	16958	Best Kept Secret
205608	2164143	Pizza
1333238	2376080	Best Kept Secret
6921106	2418190	OMG
6921106	2418190	GTD
1944973	857584	Best Cup
319904	42051	Best Kept Secret
671055	246791	Sandwiches
683523	199528	Guilty Pleasure
50829	378467	Pizza
50829	2130166	Pizza
50829	1462161	Pizza
744262	42051	People Watching
744262	2696	CNN iReport
15998	1116	Breakfast
15998	73966	Celebrity Sighting
15998	809896	Celebrity Sighting
15998	42051	Tacos
654583	1684172	Tourist Trap
914468	3052	Best Cup
886204	42051	Guilty Pleasure
223336	4092	Tacos
223336	2223059	Tacos
96349	42051	Sandwiches
96349	18892	Breakfast
980755	212012	GTD
157096	9933	Alma Mater
820822	2106678	Pizza
313491	42051	Drinks
313491	23347	Celebrity Sighting
386892	719267	Tacos
72948	42051	Drinks
61336	16958	Pizza
61336	2163341	Pizza
80393	728835	Best Kept Secret
80393	93414	Celebrity Sighting
95383	42051	Free Wifi
95383	303911	Best Cup
923646	27746	WTF
4040422	7605	Tacos
539558	42051	Beer
569713	2469836	Best Kept Secret
50330	1137353	Best Kept Secret
50330	87679	Best Kept Secret
109808	359192	FTW
87126	1542982	Best Cup
1162133	42051	Sandwiches
1010128	2205127	FTW
247647	42051	Take My Breath Away
342328	42051	People Watching
5335388	42051	My Happy Place
641441	42051	My Happy Place
109942	42051	Drinks
526587	143911	Drinks
109437	1649142	Pizza
579203	210856	Celebrity Sighting
72025	42051	BBQ
238836	133199	Beer
570779	42051	Beer
976926	142503	Tacos
756624	3028	Live Music
748380	42051	Steak
7140871	15309	Best Cup
68721	42051	My Happy Place
68721	42051	OMG
68721	12	FTW
68721	2159336	Guilty Pleasure
68721	276641	Guilty Pleasure
68721	995332	My Happy Place
158523	359192	My Happy Place
179980	133199	GTD
179980	95827	Celebrity Sighting
46939	42051	Tourist Trap
111967	1943411	Watering Hole
111967	8279	Watering Hole
6407932	247364	Drinks
715645	42051	Pizza
59858	42051	OMG
732900	42051	Beer
15895	42051	Burgers
298218	2162505	Best Cup
475119	239686	Watering Hole
357647	1619554	Best Cup
22996	279720	Tacos
2006386	42051	Burgers
651713	42051	Beer
5310477	42051	Steak
4361171	190925	People Watching
72519	2190687	Celebrity Sighting
345842	173235	Best Kept Secret
232733	3717	Guilty Pleasure
34982	1533209	Pizza
34982	2297636	Pizza
34982	832	Pizza
34982	292526	Pizza
34982	87277	Pizza
34982	95827	Pizza
34982	1111	Pizza
34982	843113	Pizza
34982	333211	Pizza
34982	12334	Pizza
34982	140442	Pizza
34982	719267	Pizza
34982	1136693	Pizza
34982	327272	Pizza
34982	16128	Pizza
34982	69101	Pizza
34982	303911	Pizza
34982	144549	Pizza
541535	2407114	Pizza
169855	9458	Double Rainbow
844654	1172748	Kid Friendly
652444	2407114	Drinks
652444	2407114	Guilty Pleasure
632107	1576449	Live Music
347539	281913	Live Music
526508	42051	Pizza
1368293	1396486	Pizza
676766	42051	Drinks
1073161	26010	Date Night
2159023	2338168	Kid Friendly
266220	42051	Vegetarian
287820	105030	Celebrity Sighting
203100	42051	People Watching
7127417	73302	My Happy Place
304443	68091	Guilty Pleasure
390039	42051	My Happy Place
764140	2220847	Best Cup
209100	160691	Best Cup
209100	144454	Best Cup
209100	1706468	Best Cup
144383	2246739	Celebrity Sighting
144383	54706	Live Music
329016	42051	Steak
329016	110698	Steak
746067	1543468	Pizza
6589062	42051	Wine
195363	42051	My Happy Place
422346	42051	Pizza
422346	76571	Watering Hole
7426826	900	Guilty Pleasure
5953784	42051	OMG
865849	219479	Pizza
285009	27804	Pizza
76853	218621	GTD
34841	42051	Sandwiches
176739	2696	Sketchy
7044708	2349667	GTD
323296	2696	FTW
150676	2149245	Take My Breath Away
195727	1199360	Pizza
161646	2099221	Kid Friendly
1005760	2203983	Pizza
1005760	14369	Tourist Trap
1005760	221817	Tourist Trap
1005760	280839	My Happy Place
1005760	2083591	Date Night
1005760	2100884	Celebrity Sighting
1005760	320235	Tourist Trap
1005760	95475	Pizza
1005760	354129	Pizza
1005760	1163382	Live Music
1005760	1062524	Pizza
1005760	21628	Take My Breath Away
57473	42051	Guilty Pleasure
566446	42051	Beer
80948	42051	My Happy Place
11857	19455	Celebrity Sighting
11747	135655	Historical Record
366679	67105	Scenic at Night
667890	42051	Breakfast
33043	3717	Celebrity Sighting
58176	105030	Best Cup
58176	252521	Celebrity Sighting
7491250	2407114	Beer
27719	42051	Take My Breath Away
27719	579040	Guilty Pleasure
27719	266810	Guilty Pleasure
27719	213770	Guilty Pleasure
27719	140442	Guilty Pleasure
27719	20471	Guilty Pleasure
802642	42051	Sandwiches
325336	42051	Drinks
61173	127251	Best Cup
7279968	2148983	Tourist Trap
157396	2185611	Kid Friendly
157396	2095431	My Happy Place
157396	120	Celebrity Sighting
157396	190925	Celebrity Sighting
559111	2217996	Pizza
6672426	42051	Take My Breath Away
6672426	316718	Guilty Pleasure
59841	42051	Vegetarian
14520	84655	Sandwiches
24785	42051	Open Late
24785	42051	Pizza
24785	1111	Best Kept Secret
24785	2116833	Pizza
24785	1973657	Pizza
24785	199528	Pizza
24785	48470	Pizza
24785	2130338	Pizza
24785	214176	Pizza
24785	12169	Pizza
24785	8279	Pizza
24785	218209	Pizza
24785	994482	Pizza
24785	824173	Pizza
309311	294739	Vegetarian
80016	21873	Best Kept Secret
80016	27804	Tacos
6957337	2669408	Best Kept Secret
7409035	2695820	Drinks
469020	42051	Wine
496552	42051	Best Kept Secret
1350750	2286085	Tourist Trap
6355982	42051	Drinks
254099	42051	FTW
254099	932779	Best Kept Secret
296284	236634	Best Cup
36035	127676	Celebrity Sighting
1388472	42051	My Happy Place
302200	70544	Best Kept Secret
514366	387986	Engaged
14148	2547532	Live Music
14148	1924342	Live Music
14148	2250882	Live Music
14148	2254948	Live Music
139172	42051	People Watching
4398475	586856	FTW
841199	2138399	Best Kept Secret
956903	42051	Beer
29005	2700548	Best Kept Secret
29005	2528235	My Happy Place
29005	1924342	Double Rainbow
29005	2138405	My Happy Place
202367	42051	Double Rainbow
744708	42051	Watering Hole
744708	2159336	Watering Hole
255621	42051	Drinks
255621	247364	Drinks
7077879	35129	My Happy Place
443290	25925	Best Kept Secret
49729	134002	Best Cup
49729	257614	Best Cup
49729	2081135	Best Cup
49729	7605	Best Cup
58108	42051	Pizza
58108	2696	Pizza
58108	23138	Pizza
58108	6716	Pizza
58108	2127893	Pizza
134990	188101	Take My Breath Away
134990	2148983	Take My Breath Away
134990	1502383	Take My Breath Away
134990	1711591	Picturesque
134990	2195501	Tourist Trap
134990	202701	Engaged
134990	16335	Scenic at Night
134990	159428	Scenic at Night
134990	75520	Take My Breath Away
134990	239079	Engaged
134990	1839267	Scenic at Night
134990	578151	Scenic at Night
134990	118579	Take My Breath Away
134990	1711209	Take My Breath Away
134990	719267	Take My Breath Away
134990	1060514	Take My Breath Away
134990	102739	Engaged
134990	137937	Scenic at Night
134990	69101	Scenic at Night
134990	867076	My Happy Place
134990	8031	Scenic at Night
126128	42051	Steak
1042357	42051	Beer
552612	1182250	Pizza
393605	1165	Celebrity Sighting
203197	130661	Celebrity Sighting
203197	294739	Celebrity Sighting
203197	2253592	Live Music
54895	12187	Breakfast
1599259	42051	Best Kept Secret
353164	87679	Steak
287886	42051	Beer
114245	42051	OMG
321819	807640	Celebrity Sighting
669064	2705339	Tourist Trap
948782	477535	Pizza
757967	133523	Celebrity Sighting
215586	2243211	Guilty Pleasure
215586	885128	Guilty Pleasure
357722	16958	FTW
305315	42051	OMG
276014	195500	Date Night
267819	42051	Beer
286129	242857	Guilty Pleasure
3205194	42051	Steak
75793	2286085	Live Music
75793	2220847	Live Music
75793	118053	Live Music
75793	373082	Live Music
75793	279399	Live Music
75793	252521	Live Music
75793	35809	Live Music
75793	26010	Live Music
75793	21386	Live Music
75793	42051	Live Music
75793	6081	Live Music
80971	12187	Steak
275343	809896	Pizza
62478	42051	Sandwiches
62478	344191	Celebrity Sighting
11797	139021	Take My Breath Away
11797	220492	Take My Breath Away
11797	147037	Take My Breath Away
11797	1848980	Take My Breath Away
11797	110698	Take My Breath Away
11797	36092	Take My Breath Away
11797	111409	Take My Breath Away
11797	11394	Tourist Trap
7371473	165748	FTW
161475	2115240	Pizza
161475	2107728	Pizza
161475	95237	Pizza
161475	3951	Pizza
307164	42051	Best Cup
307164	212012	Best Cup
307164	8279	Best Cup
329019	42051	OMG
329019	1465135	Guilty Pleasure
11744	351803	Take My Breath Away
142618	42051	Sandwiches
334086	2407114	Burgers
334086	1309285	BBQ
13022	42051	Picturesque
13022	2547839	Open Late
13022	2243020	People Watching
13022	2379246	Guilty Pleasure
13022	2240439	Burgers
13022	42500	Celebrity Sighting
13022	212012	People Watching
13022	2063642	People Watching
13022	179603	Wedding Day
13022	1062524	People Watching
732507	42051	Double Rainbow
68610	54706	Engaged
99647	2453141	Best Kept Secret
14151	1502383	Picturesque
14151	2378504	Picturesque
14151	2215691	Celebrity Sighting
14151	139054	Winter Wonderland
14151	2305988	Tourist Trap
14151	2213457	Tourist Trap
14151	2165924	Tourist Trap
14151	2165773	Kid Friendly
14151	287823	Take My Breath Away
14151	5117	Engaged
14151	1060514	Celebrity Sighting
14151	6477	Take My Breath Away
14151	916422	Alma Mater
14151	237289	Tourist Trap
14151	85764	People Watching
3556403	136402	Wine
847393	42051	My Happy Place
22327	2150778	Best Kept Secret
3413246	42051	My Happy Place
304391	73966	Beer
304391	73966	Best Kept Secret
91549	29810	People Watching
480037	26766	Tourist Trap
488154	42051	Double Rainbow
940140	2159336	Best Cup
940140	153157	Best Cup
1150876	42051	Scenic at Night
1273638	2107060	Tourist Trap
316802	2617408	Sandwiches
316802	2696	Sandwiches
7105800	42051	OMG
321345	42051	Drinks
102381	2127893	My Happy Place
163416	2160450	Best Cup
22479	2185611	Pizza
22479	1925890	Pizza
22479	287518	Tourist Trap
22479	7982	Pizza
24395	2086204	Guilty Pleasure
880707	294739	Vegetarian
579615	2159336	Live Music
579615	1664816	Live Music
924069	112869	Wedding Day
873393	353063	Guilty Pleasure
873393	2138405	FTW
832965	821041	OMG
832965	2203544	People Watching
832965	344783	Celebrity Sighting
176471	73966	Steak
7284341	385972	Best Kept Secret
7284341	385972	Open Late
448256	25925	Alma Mater
304510	300201	Guilty Pleasure
57706	846515	Wedding Day
57706	118579	Wedding Day
772613	200463	FTW
11827	14988	Celebrity Sighting
1068063	42051	Sandwiches
57703	118579	Engaged
57703	154091	People Watching
37048	42051	Guilty Pleasure
305515	35129	Burgers
351130	2178636	Best Kept Secret
267881	42051	Scenic at Night
196546	42051	Best Kept Secret
196546	388430	Drinks
196546	82856	Best Kept Secret
29002	2503664	My Personal Hell
165777	42051	Date Night
748646	42051	Scenic at Night
53984	2063642	Best Cup
165882	287823	Scenic at Night
165882	459240	Engaged
165882	42051	Take My Breath Away
230914	42051	Sandwiches
230914	209790	Sandwiches
28513	2258530	Live Music
28513	2085445	Guilty Pleasure
28513	280427	Tourist Trap
28513	401508	Tourist Trap
507126	42051	My Happy Place
140489	69785	Live Music
140489	847545	Live Music
140489	29810	Live Music
140489	3170	Live Music
140489	131382	Live Music
154608	2117392	Celebrity Sighting
154608	115320	People Watching
70851	42051	Open Late
393262	2539868	Free Wifi
365878	2138405	Double Rainbow
6731260	2358722	My Personal Hell
62466	352905	Celebrity Sighting
62466	352905	Historical Record
62466	352905	Live Music
607846	42051	People Watching
34484	42051	Historical Record
34484	2464230	Picturesque
34484	1502383	Take My Breath Away
34484	43398	Best Kept Secret
34484	16958	Historical Record
34484	2047206	Scenic at Night
34484	256773	Scenic at Night
6622058	42051	Breakfast
530651	194831	Guilty Pleasure
1411137	184850	Best Kept Secret
874702	194831	Watering Hole
678081	437436	Celebrity Sighting
52245	247364	Drinks
105168	42051	Best Kept Secret
105168	53843	Burgers
105168	1343	Burgers
34132	42051	Beer
221014	477535	Watering Hole
221014	160691	Watering Hole
12526	2148983	Historical Record
12525	42051	People Watching
12525	1502383	Take My Breath Away
12525	2422709	Celebrity Sighting
12525	2404380	Celebrity Sighting
12525	8031	Double Rainbow
12525	95475	Take My Breath Away
543765	42051	Steak
7044113	16958	Historical Record
668201	190925	Kid Friendly
90356	42051	Guilty Pleasure
299500	2195501	Pizza
739299	42051	Steak
284417	42051	Watering Hole
348512	66595	Tacos
248425	42051	Tacos
248425	1041345	Tacos
96896	2096405	Live Music
19777	108730	Sandwiches
19777	42051	Sandwiches
19777	328992	Tourist Trap
19777	195633	Sandwiches
